"","time_conv","f_id_sens","f_id_bin","f_id_bin_rev"
"472",2008-01-18,0,1,0
"473",2008-01-19,0,1,0
"474",2008-01-20,0,1,0
"475",2008-01-21,0,1,0
"476",2008-01-22,120,0,1
"477",2008-01-23,24,1,0
"478",2008-01-24,0,1,0
"479",2008-01-25,0,1,0
"480",2008-01-26,0,1,0
"481",2008-01-27,58,1,0
"482",2008-01-28,0,1,0
"483",2008-01-29,0,1,0
"484",2008-01-30,0,1,0
"485",2008-01-31,0,1,0
"486",2008-02-01,0,1,0
"487",2008-02-02,12,1,0
"488",2008-02-03,0,1,0
"489",2008-02-04,0,1,0
"490",2008-02-05,0,1,0
"491",2008-02-06,0,1,0
"492",2008-02-07,84,0,1
"493",2008-02-08,0,1,0
"494",2008-02-09,0,1,0
"495",2008-02-10,0,1,0
"496",2008-02-11,0,1,0
"497",2008-02-12,0,1,0
"498",2008-02-13,0,1,0
"499",2008-02-14,0,1,0
"500",2008-02-15,0,1,0
"501",2008-02-16,0,1,0
"502",2008-02-17,0,1,0
"503",2008-02-18,0,1,0
"504",2008-02-19,0,1,0
"505",2008-02-20,0,1,0
"506",2008-02-21,0,1,0
"507",2008-02-22,0,1,0
"508",2008-02-23,0,1,0
"509",2008-02-24,0,1,0
"510",2008-02-25,0,1,0
"511",2008-02-26,0,1,0
"512",2008-02-27,0,1,0
"513",2008-02-28,0,1,0
"514",2008-02-29,0,1,0
"515",2008-03-01,44,1,0
"516",2008-03-02,10,1,0
"517",2008-03-03,0,1,0
"518",2008-03-04,176,0,1
"519",2008-03-05,182,0,1
"520",2008-03-06,8,1,0
"521",2008-03-07,0,1,0
"522",2008-03-08,0,1,0
"523",2008-03-09,0,1,0
"524",2008-03-10,0,1,0
"525",2008-03-11,0,1,0
"526",2008-03-12,14,1,0
"527",2008-03-13,106,0,1
"528",2008-03-14,0,1,0
"529",2008-03-15,0,1,0
"530",2008-03-16,0,1,0
"531",2008-03-17,14,1,0
"532",2008-03-18,132,0,1
"533",2008-03-19,66,1,0
"534",2008-03-20,212,0,1
"535",2008-03-21,0,1,0
"536",2008-03-22,10,1,0
"537",2008-03-23,116,0,1
"538",2008-03-24,76,0,1
"539",2008-03-25,116,0,1
"540",2008-03-26,0,1,0
"541",2008-03-27,0,1,0
"542",2008-03-28,0,1,0
"543",2008-03-29,0,1,0
"544",2008-03-30,0,1,0
"545",2008-03-31,0,1,0
"546",2008-04-01,0,1,0
"547",2008-04-02,118,0,1
"548",2008-04-03,166,0,1
"549",2008-04-04,142,0,1
"550",2008-04-05,0,1,0
"551",2008-04-06,0,1,0
"552",2008-04-07,66,1,0
"553",2008-04-08,0,1,0
"554",2008-04-09,0,1,0
"555",2008-04-10,0,1,0
"556",2008-04-11,0,1,0
"557",2008-04-12,22,1,0
"558",2008-04-13,0,1,0
"559",2008-04-14,0,1,0
"560",2008-04-15,156,0,1
"561",2008-04-16,2,1,0
"562",2008-04-17,0,1,0
"563",2008-04-18,0,1,0
"564",2008-04-19,0,1,0
"565",2008-04-20,0,1,0
"566",2008-04-21,0,1,0
"567",2008-04-22,6,1,0
"568",2008-04-23,42,1,0
"569",2008-04-24,0,1,0
"570",2008-04-25,122,0,1
"571",2008-04-26,0,1,0
"572",2008-04-27,0,1,0
"573",2008-04-28,0,1,0
"574",2008-04-29,0,1,0
"575",2008-04-30,0,1,0
"576",2008-05-01,0,1,0
"577",2008-05-02,0,1,0
"578",2008-05-03,0,1,0
"579",2008-05-04,0,1,0
"580",2008-05-05,0,1,0
"581",2008-05-06,0,1,0
"582",2008-05-07,0,1,0
"583",2008-05-08,0,1,0
"584",2008-05-09,0,1,0
"585",2008-05-10,0,1,0
"586",2008-05-11,0,1,0
"587",2008-05-12,0,1,0
"588",2008-05-13,0,1,0
"589",2008-05-14,0,1,0
"590",2008-05-15,0,1,0
"591",2008-05-16,0,1,0
"592",2008-05-17,0,1,0
"593",2008-05-18,0,1,0
"594",2008-05-19,0,1,0
"595",2008-05-20,0,1,0
"596",2008-05-21,0,1,0
"597",2008-05-22,0,1,0
"598",2008-05-23,0,1,0
"599",2008-05-24,0,1,0
"600",2008-05-25,0,1,0
"601",2008-05-26,0,1,0
"602",2008-05-27,0,1,0
"603",2008-05-28,0,1,0
"604",2008-05-29,0,1,0
"605",2008-05-30,0,1,0
"606",2008-05-31,0,1,0
"607",2008-06-01,0,1,0
"608",2008-06-02,0,1,0
"609",2008-06-03,0,1,0
"610",2008-06-04,0,1,0
"611",2008-06-05,0,1,0
"612",2008-06-06,0,1,0
"613",2008-06-07,0,1,0
"614",2008-06-08,0,1,0
"615",2008-06-09,0,1,0
"616",2008-06-10,0,1,0
"617",2008-06-11,0,1,0
"618",2008-06-12,0,1,0
"619",2008-06-13,68,1,0
"620",2008-06-14,0,1,0
"621",2008-06-15,0,1,0
"622",2008-06-16,0,1,0
"623",2008-06-17,0,1,0
"624",2008-06-18,0,1,0
"625",2008-06-19,0,1,0
"626",2008-06-20,0,1,0
"627",2008-06-21,0,1,0
"628",2008-06-22,0,1,0
"629",2008-06-23,0,1,0
"630",2008-06-24,0,1,0
"631",2008-06-25,0,1,0
"632",2008-06-26,0,1,0
"633",2008-06-27,12,1,0
"634",2008-06-28,0,1,0
"635",2008-06-29,0,1,0
"636",2008-06-30,0,1,0
"637",2008-07-01,0,1,0
"638",2008-07-02,0,1,0
"639",2008-07-03,0,1,0
"640",2008-07-04,0,1,0
"641",2008-07-05,0,1,0
"642",2008-07-06,0,1,0
"643",2008-07-07,0,1,0
"644",2008-07-08,6,1,0
"645",2008-07-09,0,1,0
"646",2008-07-10,0,1,0
"647",2008-07-11,0,1,0
"648",2008-07-12,0,1,0
"649",2008-07-13,0,1,0
"650",2008-07-14,116,0,1
"651",2008-07-15,0,1,0
"652",2008-07-16,0,1,0
"653",2008-07-17,0,1,0
"654",2008-07-18,0,1,0
"655",2008-07-19,0,1,0
"656",2008-07-20,0,1,0
"657",2008-07-21,74,0,1
"658",2008-07-22,170,0,1
"659",2008-07-23,126,0,1
"660",2008-07-24,0,1,0
"661",2008-07-25,0,1,0
"662",2008-07-26,0,1,0
"663",2008-07-27,0,1,0
"664",2008-07-28,0,1,0
"665",2008-07-29,0,1,0
"666",2008-07-30,0,1,0
"667",2008-07-31,0,1,0
"668",2008-08-01,0,1,0
"669",2008-08-02,0,1,0
"670",2008-08-03,0,1,0
"671",2008-08-04,0,1,0
"672",2008-08-05,0,1,0
"673",2008-08-06,0,1,0
"674",2008-08-07,0,1,0
"675",2008-08-08,26,1,0
"676",2008-08-09,8,1,0
"677",2008-08-10,0,1,0
"678",2008-08-11,0,1,0
"679",2008-08-12,0,1,0
"680",2008-08-13,0,1,0
"681",2008-08-14,0,1,0
"682",2008-08-15,32,1,0
"683",2008-08-16,32,1,0
"684",2008-08-17,0,1,0
"685",2008-08-18,0,1,0
"686",2008-08-19,0,1,0
"687",2008-08-20,0,1,0
"688",2008-08-21,0,1,0
"689",2008-08-29,0,1,0
"690",2008-08-30,0,1,0
"691",2008-08-31,0,1,0
"692",2008-09-01,0,1,0
"693",2008-09-02,0,1,0
"694",2008-09-03,0,1,0
"695",2008-09-04,0,1,0
"696",2008-09-05,0,1,0
